video,comparison,n_pairs,mean_group1,mean_group2,mean_diff,t_test_statistic,t_test_p,wilcoxon_statistic,wilcoxon_p,group1_better_count,group2_better_count,ties_count,cohens_d,r_effect_size,cles,cliffs_delta
7,ai_always_vs_human_only,990,0.7608787878787879,0.6669595959595961,0.09391919191919185,52.055410118877795,1.5563292174519732e-285,408.0,1.8272508074733504e-161,971,9,10,1.654429537206214,0.8559284465713043,0.9808080808080808,0.9717171717171718
7,human_only_supervision_vs_human_only,990,0.7383535353535354,0.6669595959595961,0.07139393939393934,41.5750625748596,2.6982041899557756e-219,4331.0,9.658523673785046e-151,905,42,43,1.3213422270224386,0.7975341118322731,0.9141414141414141,0.8717171717171717
7,ai_always_vs_human_only_supervision,990,0.7608787878787879,0.7383535353535354,0.022525252525252504,23.289732229067862,5.313980635735843e-96,51875.5,5.104044270952413e-81,707,180,103,0.7401962797987854,0.5951391566598739,0.7141414141414142,0.5323232323232323
8,ai_always_vs_human_only,435,0.8595172413793103,0.7951724137931034,0.06434482758620685,26.63871032636616,2.3660610208136654e-93,712.0,4.4933961761987215e-67,393,19,23,1.277228400039231,0.787720514307445,0.903448275862069,0.8597701149425288
8,human_only_supervision_vs_human_only,435,0.8468275862068966,0.7951724137931034,0.05165517241379314,23.855063444546893,5.652272573163225e-81,1721.0,9.344760506833909e-63,377,28,30,1.1437627476265753,0.753210286983767,0.8666666666666667,0.8022988505747126
8,ai_always_vs_human_only_supervision,435,0.8595172413793103,0.8468275862068966,0.012689655172413716,9.94212587024261,4.04782140979738e-21,16704.0,1.0493068510103445e-18,268,106,61,0.47668844935297694,0.43070355502200275,0.6160919540229886,0.3724137931034483
9,ai_always_vs_human_only,666,0.623963963963964,0.5734984984984984,0.0504654654654656,26.053053495599833,1.1457504840254113e-103,13825.0,2.901968385894999e-79,555,80,31,1.0095353169766292,0.7107183336850097,0.8333333333333334,0.7132132132132132
9,human_only_supervision_vs_human_only,666,0.6551951951951952,0.5734984984984984,0.08169669669669677,39.14202051793174,9.809398322484437e-175,1873.5,9.243808186329282e-105,622,30,14,1.5167224869572304,0.8350616679129447,0.933933933933934,0.8888888888888888
9,ai_always_vs_human_only_supervision,666,0.623963963963964,0.6551951951951952,-0.03123123123123117,-24.761028792628803,2.0118778155749158e-96,14456.0,1.351068133457405e-73,90,522,54,-0.9594703766702737,0.6926037133268069,0.13513513513513514,-0.6486486486486487
